"","alpha","np.le1","p.le1.e1","p.le1.e2","p.le1.e3","np.ge1","p.ge1.e1","p.ge1.e2","p.ge1.e3"
"1",0.1,1.06178702152784,5.16752966050002,4.36584195648997,3.86153970753427,0.00165244346954433,0.00341619636250048,0.00250380815309814,0.00221286051699723
"2",0.2,0.33034671020124,2.9170300927061,2.39282509906961,1.87291957450683,0.00165308896637011,0.00371105706760663,0.0027129654216144,0.00236344884724038
"3",0.3,0.179012219636216,1.47752975339235,1.01200811362362,0.766229078832598,0.00138866910710165,0.00392979356590049,0.00273839248172384,0.00223616280214419
"4",0.4,0.0904077995264591,0.55162117964692,0.338041540779052,0.254152922650931,0.00167505689034927,0.00465652043494689,0.00324755999598432,0.0024891947192478
"5",0.5,0.0387806798347954,0.243584527196592,0.146202244222964,0.104089930489309,0.00169551749823242,0.00584200291122701,0.00353406796099227,0.00283584591095265
"6",0.6,0.0207579767026537,0.0892870539033239,0.0583209486732264,0.0460507598532459,0.00193532965454379,0.00933534268438728,0.00579253131325347,0.00432639805313076
"7",0.7,0.0100511265071809,0.0384493911546204,0.0224181854077791,0.0176708930726702,0.00198989376433771,0.0119198081730321,0.00726902002824651,0.00496968094124745
"8",0.8,0.00515369990593434,0.0221109230558039,0.0135093090320824,0.0107070668315842,0.00273659712027111,0.0233875580539025,0.0140540943135351,0.00958237084398794
"9",0.9,0.00253528331061801,0.0116746145630149,0.0063352528254066,0.004997534288294,0.00659290934337181,0.0716680981520431,0.0435705653530242,0.031354267197292
