"","x"
"1","bradfriedman.com/bradblog"
"2","brilliantatbreakfast.blogspot.com"
"3","browncross.com/usualsuspects"
"4","btcnews.com/btcnews"
"5","bullmooseblog.com"
"6","burntorangereport.com"
"7","bushlies.net/pages/10/index.htm"
"8","bushmisunderestimated.blogspot.com"
"9","busybusybusy.com"
"10","buzzmachine.com"
"11","carpetblogger.com"
"12","cbaker.org/blog"
"13","cemonitor.blogspot.com"
"14","centerpiece.blogspot.com"
"15","changeforamerica.com/blog"
"16","charleypatton.blogspot.com"
"17","charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48"
"18","chepooka.com"
"19","chiron.typepad.com"
"20","churchofcriticalthinking.com"
"21","clarified.blogspot.com"
"22","claudialong.com/blog"
"23","cleancutkid.com"
"24","collegedems.com/blog"
"25","conniptions.net"
"26","conservativessuck.blogspot.com"
"27","contrapositive.blogspot.com"
"28","corrente.blogspot.com"
"29","counterspin.blogspot.com"
"30","crankylittleblog.blogspot.com"
"31","criticalviewer.com"
"32","crookedtimber.org"
"33","crooksandliars.com"
"34","dailyblatt.blogspot.com"
"35","dailyhowler.com"
"36","dailykos.com"
"37","dailywarnews.blogspot.com"
"38","damntheman.net"
"39","dashnier.blogspot.com"
"40","davidsirota.com"
"41","dawnofnewamerica.blogspot.com"
"42","deathpenaltyusa.blogspot.com"
"43","debunker.net"
"44","dedspace.blogspot.com"
"45","delraysteve.com/blog"
"46","demagogue.blogspot.com"
"47","demleft.blogspot.com"
"48","democraticunderground.com"
"49","democratreport.blogspot.com"
"50","democrats.org/blog"
"51","democratvoice.org"
"52","dems2000.net"
"53","dems2004.org/blog"
"54","denisdekat.com"
"55","dewar.journalspace.com"
"56","digbysblog.blogspot.com"
"57","digestiblenews.blogspot.com"
"58","digitaljay.blogspot.com"
"59","dimmykarras.blogspot.com"
"60","dir.salon.com/topics/joe_conason/index.html"
"61","discourse.net"
"62","diypolitics.blogdrive.com"
"63","dneiwert.blogspot.com"
"64","dogfight04.typepad.com"
"65","dohiyimir.typepad.com"
"66","dolphinsdock.com/blog"
"67","donkey2004.blogspot.com"
"68","donspoliticalblog.blogspot.com"
"69","duckdaotsu.blogspot.com"
"70","dystopia.blog-city.com"
"71","eastbaykerry.com"
"72","elayneriggs.blogspot.com"
"73","elderbearden.blogspot.com"
"74","electablog.com"
"75","elemming2.blogspot.com"
"76","elissa.typepad.com"
"77","eltcamerica.blogspot.com"
"78","emergingdemocraticmajority.com"
"79","emergingdemocraticmajorityweblog.com/donkeyrising"
"80","emptyisform.com"
"81","endthenightmare.blogspot.com"
"82","enemykombatant.blogspot.com"
"83","ergio.blogspot.com"
"84","estropundit.blogspot.com"
"85","etherealgirl.blogspot.com"
"86","fafblog.blogspot.com"
"87","fairshot.org"
"88","farleft.blogspot.com"
"89","fiercepoet.com"
"90","flagrancy.net"
"91","folkbum.blogspot.com"
"92","forewarned.blogspot.com"
"93","frederickclarkson.com"
"94","fromtheroots.org"
"95","fuckthisblog.blogspot.com"
"96","gadflyer.com"
"97","garbage-house.com"
"98","georgewbuy.blogspot.com"
"99","gisleson.com/blog"
