"","Epsilon","p.le1","p.ge1"
"1","0.5",4.2574627251177,4.25590814111715
"2","1",1.4922392731608,2.59317994608582
"3","1.5",0.719950548795337,1.92883328666756
"4","2",0.330964230501686,1.4953003236036
"5","2.5",0.199645532666305,1.17707487278446
"6","3",0.140812098368426,0.960163683297772
"7","4",0.0860078902433088,0.684302642033255
"8","5",0.0628357466293827,0.444202461790067
"9","10",0.0271904572089743,0.14079420921583
"10","25",0.0157367498314224,0.0497942667879428
"11","100",0.0130761624643417,0.0273187161450482
